,trades,Total return,Average Gain,Average Loss,勝率,Average gain and profit,average holding period
KMI,8,-9.82,7.5,-4.0,0.25,-1.1250000000000027,87.75
KLAC,15,71.06,13.14,-2.0,0.4,4.055778749225305,67.66666666666667
KSS,13,35.3,25.44,-3.44,0.23076923076923078,3.226898830403447,53.90909090909091
KHC,8,-19.09,5.0,-5.0,0.25,-2.5000000000000044,70.375
KR,10,-1.09,6.18,-4.04,0.4,0.04751620131729606,40.42857142857143
LB,6,133.68,30.31,-3.41,0.6666666666666666,19.07223767371992,82.0
LHX,7,84.04,44.34,-1.28,0.2857142857142857,11.755728886434106,211.83333333333334
LH,9,15.29,6.08,-3.64,0.5555555555555556,1.7578934658806233,139.57142857142858
LRCX,11,199.21,28.68,-4.8,0.5454545454545454,13.463338839238455,105.0909090909091
LW,6,50.31,21.03,-4.44,0.5,8.29511752954758,167.5
LVS,8,18.87,6.17,-4.0,0.625,2.3557587677323673,95.14285714285714
LEG,11,-6.55,6.25,-4.29,0.36363636363636365,-0.4545454545454555,61.18181818181818
LDOS,6,147.12,31.21,-6.0,0.6666666666666666,18.80452972387943,234.83333333333334
LEN,10,15.87,11.42,-4.43,0.4,1.9129088630307818,80.55555555555556
LLY,8,87.48,33.59,-3.6,0.375,10.347086402689701,63.714285714285715
LNC,8,22.55,31.06,-5.0,0.25,4.015278470601915,116.28571428571429
LIN,7,28.71,31.19,-4.85,0.2857142857142857,5.451275802631324,75.6
LYV,14,15.42,8.82,-2.86,0.35714285714285715,1.3093084119308047,90.85714285714286
LKQ,9,10.13,3.45,-0.76,0.4444444444444444,1.1090891117888462,76.0
LMT,4,42.27,9.26,0.0,1.0,9.255159274054732,339.3333333333333
L,7,11.27,5.85,-1.5,0.42857142857142855,1.6480018843820097,172.71428571428572
LOW,11,37.66,11.0,-3.0,0.45454545454545453,3.36262381782245,97.54545454545455
LYB,12,-16.72,6.48,-5.25,0.3333333333333333,-1.3385339409213266,77.33333333333333
MTB,10,-12.85,20.58,-6.0,0.2,-0.6833674632211215,102.7
MRO,16,-17.56,6.25,-3.51,0.25,-1.0724271776155798,23.6
MPC,12,11.34,10.3,-3.29,0.3333333333333333,1.2371751531783972,64.45454545454545
MKTX,14,127.52,16.58,-2.57,0.5,7.003996088347346,83.5
MAR,8,46.47,19.3,-6.0,0.5,6.650276962354165,143.83333333333334
MMC,5,48.76,79.11,-4.5,0.2,12.221074646229699,67.5
MLM,11,48.76,10.48,-3.6,0.5454545454545454,4.078251991762641,82.81818181818181
MAS,11,22.19,6.79,-3.72,0.5454545454545454,2.012533234622788,112.5
MA,6,114.3,38.32,-4.0,0.5,17.162073176635957,219.2
